Name,Email,Location,Job Title,Job Type,Education,Years of Experience,Employment Type,Practice Size,Area Type,Need Sponsorship,English Proficiency,Annual Salary,Daily Rate,Daily Rate Details,% Production,Details on % Production,% Collection,Details on % Collection,Signing Bonus,Relocation Bonus
Randy Pope,garciajames@example.com,"Los Angeles, CA",Pedodontist,DSO,DMD,20,Full-time,Large,Rural,True,Basic,134346.17,493.92,Draw - Term Less than 1 year,40.0,The production details,25.0,,15000.0,6000.0
Brooke Williams,melanie11@example.net,"Houston, TX",General Dentist,Private Practice,DMD with Specialization,22,Temporary,Large,Urban,False,Fluent,107722.26,396.04,Draw - Term Less than 1 year,50.0,,40.0,,10000.0,6000.0
Andrea Reyes,melaniebrooks@example.org,"Los Angeles, CA",Endodontist,Private Practice,DMD,20,Part-time,Medium,Rural,False,Proficient,114638.12,421.46,Guaranteed,25.0,,15.0,The collection details,15000.0,4000.0
Mark Burke,hmartin@example.org,"New York, NY",Pedodontist,DSO,DDS with Specialization,0,Full-time,Small,Urban,True,Basic,83822.0,308.17,Draw,10.0,The production details,15.0,,15000.0,6000.0
Nicole Simmons,palmercraig@example.net,"Chicago, IL",Endodontist,DSO,DMD with Specialization,1,Part-time,Small,Urban,False,Native,132511.95,487.18,Draw,15.0,,10.0,The collection details,10000.0,2000.0
Rebecca Wells,wjones@example.com,"New York, NY",Endodontist,Private Practice,DMD,14,Temporary,Small,Rural,True,Native,144796.9,532.34,Guaranteed,,The production details,20.0,,10000.0,2000.0
Victoria Hurley,sbaker@example.org,"Phoenix, AZ",Periodontist,DSO,DDS,9,Temporary,Medium,Urban,True,Native,80287.07,295.17,Draw - Term Less than 1 year,50.0,,,,,6000.0
Margaret Guerrero,bradyjesse@example.net,"New York, NY",General Dentist,DSO,DDS with Specialization,14,Full-time,Medium,Rural,True,Native,114867.8,422.31,Draw,,,40.0,,15000.0,6000.0
Neil Sanders,austin82@example.com,"Houston, TX",Endodontist,DSO,DDS,7,Part-time,Large,Urban,False,Native,126680.59,465.74,Guaranteed,40.0,,20.0,The collection details,,6000.0
Jessica Becker,joseph38@example.net,"Los Angeles, CA",Endodontist,Private Practice,DDS with Specialization,8,Contract,Medium,Rural,False,Native,136772.89,502.84,Draw,,,10.0,,15000.0,
Kathleen Aguilar,matthewhubbard@example.net,"Chicago, IL",Pedodontist,Private Practice,DDS,16,Temporary,Large,Rural,False,Fluent,146490.29,538.57,Guaranteed,25.0,,30.0,,10000.0,
Mary Campos,garrettlucero@example.net,"Houston, TX",Periodontist,Private Practice,DMD,22,Part-time,Small,Rural,True,Fluent,149136.14,548.29,Draw,30.0,The production details,25.0,The collection details,15000.0,6000.0
Steven Harris,michealreynolds@example.net,"Los Angeles, CA",General Dentist,DSO,DMD,2,Contract,Medium,Urban,False,Basic,147809.49,543.42,Draw - Term Less than 1 year,40.0,The production details,15.0,The collection details,15000.0,6000.0
Edward Nguyen,brucechad@example.net,"Phoenix, AZ",Orthodontist,Private Practice,DDS with Specialization,11,Temporary,Small,Urban,True,Native,148284.31,545.16,Draw - Term Less than 1 year,,,30.0,,5000.0,
Krista Giles,zwagner@example.net,"Phoenix, AZ",Orthodontist,Private Practice,DDS,17,Temporary,Large,Urban,False,Fluent,145053.32,533.28,Draw,,,30.0,,5000.0,6000.0
Emily Johnson,lwalker@example.net,"Los Angeles, CA",Orthodontist,DSO,DMD with Specialization,7,Full-time,Small,Rural,True,Fluent,117346.35,431.42,Draw - Term Less than 1 year,30.0,The production details,20.0,,5000.0,4000.0
Margaret Richards,jennifercole@example.com,"Los Angeles, CA",Orthodontist,Private Practice,DDS with Specialization,4,Part-time,Small,Urban,False,Basic,108327.63,398.26,Draw - Term Less than 1 year,30.0,,30.0,,15000.0,4000.0
Ryan Miller,hendrickschelsea@example.net,"Los Angeles, CA",General Dentist,Private Practice,DDS,14,Contract,Medium,Rural,True,Basic,97362.25,357.95,Draw,,,40.0,,10000.0,6000.0
Nicole Wiley,ramirezlori@example.com,"Phoenix, AZ",Pedodontist,Private Practice,DMD with Specialization,14,Contract,Medium,Rural,True,Proficient,104315.94,383.51,Draw - Term Less than 1 year,15.0,The production details,40.0,The collection details,10000.0,4000.0
Amber Kelly MD,davidcopeland@example.net,"Chicago, IL",Pedodontist,DSO,DMD with Specialization,17,Contract,Large,Rural,False,Native,102736.32,377.71,Draw,15.0,The production details,50.0,,10000.0,4000.0
David Khan,ronaldstewart@example.org,"Houston, TX",Orthodontist,DSO,DMD,10,Part-time,Large,Rural,True,Proficient,85228.78,313.34,Draw - Term Less than 1 year,10.0,The production details,,,5000.0,6000.0
Jane Wise,yking@example.com,"Phoenix, AZ",Periodontist,DSO,DMD,18,Temporary,Medium,Urban,False,Fluent,124941.84,459.34,Draw,30.0,,,,15000.0,4000.0
Lisa Cox,lewismelissa@example.net,"Chicago, IL",Pedodontist,Private Practice,DDS with Specialization,27,Temporary,Medium,Rural,True,Basic,91488.39,336.35,Guaranteed,,,50.0,,5000.0,
Wendy Parker,michaelwinters@example.net,"Phoenix, AZ",Periodontist,Private Practice,DDS,6,Temporary,Small,Rural,True,Native,129494.79,476.08,Draw - Term Less than 1 year,40.0,,,,10000.0,2000.0
Donald Melton,hoffmanchristopher@example.org,"Chicago, IL",General Dentist,Private Practice,DMD,24,Contract,Large,Rural,True,Fluent,148970.62,547.69,Guaranteed,,,30.0,The collection details,,
Jacob Wells,smithisabel@example.org,"New York, NY",General Dentist,DSO,DDS,9,Part-time,Small,Urban,True,Native,105692.85,388.58,Guaranteed,,,10.0,,,2000.0
Christopher Haley,sullivanamanda@example.net,"Phoenix, AZ",General Dentist,Private Practice,DMD with Specialization,1,Temporary,Large,Rural,False,Proficient,121699.65,447.43,Draw,25.0,The production details,10.0,The collection details,10000.0,
Sara Adkins,sarah45@example.com,"Chicago, IL",General Dentist,Private Practice,DMD with Specialization,15,Part-time,Large,Rural,True,Proficient,85511.78,314.38,Draw - Term More than 1 year,25.0,The production details,50.0,The collection details,10000.0,6000.0
Joel Gilbert,schroederperry@example.com,"Los Angeles, CA",Periodontist,DSO,DDS with Specialization,18,Part-time,Large,Rural,False,Basic,92769.37,341.06,Draw,,,,,15000.0,6000.0
William Butler,andersonmelanie@example.com,"Chicago, IL",Orthodontist,Private Practice,DDS with Specialization,11,Temporary,Medium,Rural,False,Fluent,91083.76,334.87,Guaranteed,,,10.0,The collection details,15000.0,
Mary Eaton,washingtonkenneth@example.org,"Los Angeles, CA",Endodontist,Private Practice,DMD with Specialization,9,Contract,Small,Urban,False,Basic,107419.34,394.92,Draw - Term More than 1 year,40.0,,50.0,,5000.0,2000.0
William Mendoza,cmartin@example.com,"Phoenix, AZ",Orthodontist,Private Practice,DDS with Specialization,30,Temporary,Large,Urban,False,Basic,133593.75,491.15,Draw,25.0,,20.0,The collection details,5000.0,4000.0
Joshua Bridges,bergkathryn@example.com,"Chicago, IL",General Dentist,DSO,DDS,12,Full-time,Large,Urban,False,Proficient,126869.63,466.43,Guaranteed,25.0,,,The collection details,15000.0,6000.0
Melanie Caldwell,romerorebekah@example.net,"Phoenix, AZ",Orthodontist,Private Practice,DDS with Specialization,9,Contract,Large,Urban,True,Native,102938.84,378.45,Draw,50.0,,10.0,,5000.0,
Julie Gonzalez,hopkinsjerry@example.net,"New York, NY",Pedodontist,Private Practice,DDS with Specialization,5,Temporary,Large,Rural,False,Basic,115300.09,423.9,Draw,40.0,The production details,40.0,The collection details,15000.0,
Benjamin Myers,robert01@example.com,"Phoenix, AZ",Orthodontist,DSO,DMD with Specialization,29,Full-time,Small,Urban,True,Fluent,119259.86,438.46,Guaranteed,40.0,,50.0,,,4000.0
Michael Pope,justin99@example.org,"New York, NY",Pedodontist,DSO,DDS,7,Temporary,Medium,Urban,False,Basic,143021.5,525.81,Guaranteed,40.0,,50.0,,,6000.0
David Davenport,susan57@example.com,"New York, NY",Orthodontist,Private Practice,DDS,12,Temporary,Medium,Rural,False,Native,115929.92,426.21,Guaranteed,10.0,The production details,20.0,The collection details,15000.0,
Amanda Roman,andre16@example.net,"Chicago, IL",Endodontist,Private Practice,DMD,16,Temporary,Small,Urban,False,Proficient,137611.44,505.92,Draw,10.0,The production details,30.0,,15000.0,
Kimberly Macias,felicia74@example.com,"Houston, TX",General Dentist,DSO,DMD with Specialization,30,Temporary,Small,Rural,False,Proficient,129638.69,476.61,Draw - Term More than 1 year,,The production details,10.0,,15000.0,2000.0
Jeremy Wells,joshua42@example.com,"Houston, TX",Endodontist,Private Practice,DDS,24,Part-time,Medium,Rural,False,Proficient,147051.9,540.63,Draw - Term Less than 1 year,40.0,,10.0,,10000.0,
Richard Lozano,anthonysims@example.net,"Houston, TX",Orthodontist,Private Practice,DDS,11,Full-time,Medium,Urban,True,Native,136220.76,500.81,Draw,25.0,The production details,15.0,,10000.0,2000.0
Autumn Brooks,michael47@example.com,"Chicago, IL",Pedodontist,Private Practice,DMD,6,Contract,Large,Rural,True,Basic,81026.58,297.89,Draw - Term Less than 1 year,25.0,The production details,30.0,The collection details,15000.0,2000.0
Joann Hodge,nichole22@example.net,"New York, NY",General Dentist,Private Practice,DDS,26,Full-time,Small,Urban,True,Basic,92834.8,341.3,Draw,40.0,,50.0,,15000.0,2000.0
William Ortega,coxlaura@example.com,"Phoenix, AZ",Pedodontist,DSO,DDS with Specialization,1,Temporary,Large,Rural,False,Native,99008.36,364.0,Guaranteed,15.0,,50.0,,5000.0,4000.0
David Jones,danielkeller@example.net,"Phoenix, AZ",Pedodontist,DSO,DMD with Specialization,13,Temporary,Small,Urban,True,Basic,134656.47,495.06,Draw - Term More than 1 year,20.0,The production details,,,5000.0,6000.0
Thomas James,ugarrison@example.com,"Los Angeles, CA",Pedodontist,DSO,DDS,7,Part-time,Small,Urban,False,Proficient,104458.77,384.04,Draw,50.0,,40.0,The collection details,5000.0,4000.0
Sandy Meyer,sheliasampson@example.net,"Houston, TX",Pedodontist,Private Practice,DMD,11,Contract,Small,Urban,True,Basic,147870.51,543.64,Draw - Term Less than 1 year,25.0,The production details,25.0,,10000.0,6000.0
Sherry Hernandez,ochung@example.com,"New York, NY",Periodontist,Private Practice,DDS,4,Full-time,Small,Rural,True,Basic,113648.49,417.83,Guaranteed,,,,,10000.0,4000.0
Jeremy Gonzalez,coreymiller@example.com,"New York, NY",General Dentist,DSO,DMD with Specialization,9,Contract,Medium,Urban,True,Fluent,137190.79,504.38,Draw,20.0,The production details,,,5000.0,6000.0
Keith Flynn,dgomez@example.org,"New York, NY",General Dentist,DSO,DDS with Specialization,22,Part-time,Medium,Urban,False,Basic,116774.6,429.32,Guaranteed,25.0,,,The collection details,10000.0,2000.0
Stephen Beck,jamesgonzalez@example.org,"New York, NY",General Dentist,DSO,DMD,8,Part-time,Small,Urban,False,Basic,101763.39,374.13,Draw,15.0,,15.0,,15000.0,4000.0
Cynthia Sosa,claire56@example.com,"Los Angeles, CA",Orthodontist,DSO,DDS with Specialization,26,Part-time,Large,Urban,False,Proficient,147738.58,543.16,Draw,25.0,,,,5000.0,4000.0
David Harris,emily61@example.org,"New York, NY",Pedodontist,DSO,DMD,27,Temporary,Large,Rural,True,Fluent,148917.64,547.49,Draw - Term Less than 1 year,,,,,10000.0,
Kimberly Mclaughlin,owensanthony@example.com,"Los Angeles, CA",Periodontist,DSO,DMD with Specialization,8,Part-time,Medium,Rural,True,Basic,95320.7,350.44,Draw,40.0,,30.0,,,
Theresa Cortez,evalentine@example.net,"Chicago, IL",Endodontist,DSO,DDS with Specialization,6,Part-time,Small,Rural,False,Proficient,88677.33,326.02,Draw,30.0,The production details,20.0,The collection details,5000.0,
David Benton,brendawyatt@example.net,"Phoenix, AZ",Periodontist,Private Practice,DMD with Specialization,20,Full-time,Large,Urban,True,Proficient,91757.99,337.35,Draw - Term More than 1 year,40.0,,,The collection details,15000.0,6000.0
Lisa Osborn,sarakelly@example.org,"Phoenix, AZ",Endodontist,DSO,DMD,11,Temporary,Small,Urban,False,Native,113992.89,419.09,Guaranteed,25.0,,40.0,,10000.0,
Adam Morris,grantcarmen@example.org,"Houston, TX",Periodontist,Private Practice,DDS with Specialization,10,Temporary,Large,Urban,True,Proficient,91106.94,334.95,Draw,10.0,,25.0,The collection details,5000.0,6000.0
Stephen Wilkerson,dan71@example.com,"New York, NY",Pedodontist,DSO,DMD,25,Full-time,Small,Urban,True,Fluent,115329.31,424.0,Draw - Term More than 1 year,40.0,,40.0,The collection details,5000.0,
Mark Petersen,crystal37@example.net,"Houston, TX",Periodontist,DSO,DDS,8,Temporary,Small,Rural,True,Basic,144045.15,529.58,Draw - Term Less than 1 year,,,,,15000.0,6000.0
Shawn Oneal,stephanie50@example.net,"Houston, TX",Orthodontist,Private Practice,DDS,10,Full-time,Medium,Rural,True,Fluent,122436.28,450.13,Draw - Term Less than 1 year,30.0,The production details,,The collection details,,4000.0
Laura Lewis,james02@example.net,"Los Angeles, CA",Periodontist,Private Practice,DDS with Specialization,1,Contract,Medium,Urban,False,Proficient,119159.38,438.09,Draw,50.0,,10.0,The collection details,,
Jennifer Henson,angelzuniga@example.com,"Los Angeles, CA",Endodontist,DSO,DMD with Specialization,5,Temporary,Small,Rural,True,Basic,141944.48,521.85,Guaranteed,,The production details,15.0,,,2000.0
John Jackson,qmccall@example.org,"New York, NY",Periodontist,Private Practice,DMD,9,Temporary,Small,Urban,True,Fluent,118725.03,436.49,Draw - Term More than 1 year,30.0,,20.0,,,
Jesse Rodriguez,penaheidi@example.com,"Chicago, IL",Endodontist,Private Practice,DDS,7,Full-time,Medium,Rural,False,Fluent,136975.55,503.59,Draw,20.0,,25.0,,10000.0,6000.0
Julia Brown,ymelton@example.org,"Phoenix, AZ",Pedodontist,Private Practice,DDS with Specialization,23,Contract,Large,Rural,False,Basic,110376.25,405.8,Draw - Term More than 1 year,40.0,,40.0,,15000.0,2000.0
Lauren Brown,kevin18@example.org,"Los Angeles, CA",General Dentist,Private Practice,DDS with Specialization,7,Part-time,Small,Rural,True,Native,105325.63,387.23,Draw - Term Less than 1 year,15.0,The production details,,The collection details,15000.0,
Collin Bradley,ksantos@example.net,"Los Angeles, CA",Orthodontist,DSO,DDS,5,Full-time,Small,Urban,False,Basic,104174.49,382.99,Draw - Term More than 1 year,,The production details,50.0,The collection details,,4000.0
Vanessa Ball,ssteele@example.org,"Los Angeles, CA",Orthodontist,DSO,DMD with Specialization,6,Part-time,Medium,Urban,False,Fluent,144068.64,529.66,Guaranteed,25.0,,20.0,,10000.0,
Carolyn Terry,nmartinez@example.net,"Chicago, IL",General Dentist,DSO,DMD with Specialization,22,Temporary,Large,Rural,False,Fluent,107054.29,393.58,Guaranteed,40.0,The production details,25.0,,10000.0,
Desiree Taylor,ambercortez@example.com,"Chicago, IL",Endodontist,Private Practice,DMD with Specialization,9,Full-time,Large,Urban,True,Native,84062.68,309.05,Guaranteed,,The production details,30.0,,10000.0,4000.0
Nathaniel King,davisjohn@example.org,"New York, NY",Endodontist,Private Practice,DDS,24,Contract,Medium,Urban,True,Basic,112843.73,414.87,Guaranteed,20.0,,20.0,The collection details,15000.0,6000.0
Louis Cook,robertterry@example.org,"Phoenix, AZ",Periodontist,DSO,DMD,21,Temporary,Small,Rural,False,Fluent,130364.94,479.28,Draw - Term Less than 1 year,15.0,,10.0,The collection details,,4000.0
Rickey Thomas,allengrimes@example.com,"Houston, TX",Orthodontist,Private Practice,DDS with Specialization,7,Temporary,Medium,Urban,True,Fluent,119724.69,440.16,Draw,25.0,,20.0,The collection details,,6000.0
Kenneth Rogers,nramos@example.com,"New York, NY",General Dentist,DSO,DDS,14,Part-time,Small,Rural,True,Fluent,133315.32,490.13,Draw - Term More than 1 year,20.0,,,,,6000.0
Angela Carter,maryfletcher@example.net,"Chicago, IL",Pedodontist,DSO,DMD with Specialization,0,Contract,Medium,Urban,False,Native,135165.6,496.93,Draw - Term More than 1 year,25.0,,25.0,The collection details,15000.0,
Amber Gillespie,travisrobinson@example.com,"Phoenix, AZ",Orthodontist,DSO,DMD,30,Contract,Small,Rural,True,Basic,97365.15,357.96,Draw - Term Less than 1 year,,The production details,30.0,,10000.0,6000.0
Randy Johnson,sanfordsandra@example.org,"Phoenix, AZ",Periodontist,DSO,DMD with Specialization,21,Temporary,Small,Urban,False,Proficient,107677.35,395.87,Guaranteed,,The production details,25.0,The collection details,10000.0,2000.0
Lucas Serrano,vgomez@example.org,"New York, NY",Endodontist,DSO,DDS,25,Full-time,Large,Urban,False,Basic,108327.91,398.26,Draw - Term More than 1 year,20.0,,25.0,,15000.0,
Jenna Thomas,ttucker@example.com,"Los Angeles, CA",General Dentist,Private Practice,DDS,4,Contract,Small,Urban,True,Native,145315.83,534.25,Draw - Term More than 1 year,30.0,,,,5000.0,4000.0
Kyle Fields,criddle@example.com,"Houston, TX",Orthodontist,DSO,DMD,9,Part-time,Large,Urban,False,Basic,126253.47,464.17,Draw - Term More than 1 year,,,40.0,The collection details,,4000.0
Natalie Coleman,johnwalker@example.net,"Phoenix, AZ",Pedodontist,DSO,DDS,12,Part-time,Medium,Urban,False,Proficient,80519.56,296.03,Draw,,,40.0,,5000.0,
Kathryn Perez MD,robert73@example.net,"Los Angeles, CA",Pedodontist,Private Practice,DDS with Specialization,8,Full-time,Small,Rural,True,Fluent,125634.07,461.89,Draw - Term Less than 1 year,25.0,The production details,,The collection details,10000.0,4000.0
Courtney Russell,goodcory@example.org,"Los Angeles, CA",Orthodontist,DSO,DDS with Specialization,9,Temporary,Medium,Urban,False,Fluent,116190.4,427.17,Guaranteed,20.0,,40.0,,15000.0,4000.0
Mrs. Cheryl Nelson DVM,michael08@example.net,"Phoenix, AZ",Endodontist,Private Practice,DDS with Specialization,3,Part-time,Small,Rural,True,Proficient,141367.52,519.73,Draw - Term Less than 1 year,,,20.0,,10000.0,2000.0
Taylor Wilson,floresvictor@example.net,"Chicago, IL",Periodontist,Private Practice,DDS,1,Part-time,Medium,Urban,True,Fluent,80416.58,295.65,Draw,,,40.0,,5000.0,2000.0
Katherine Vargas,wphillips@example.net,"New York, NY",Periodontist,Private Practice,DDS,20,Contract,Medium,Urban,True,Native,149769.77,550.62,Guaranteed,20.0,,30.0,,,4000.0
Chelsea Russell,bjones@example.net,"Chicago, IL",Pedodontist,Private Practice,DMD,28,Full-time,Medium,Urban,False,Proficient,135522.82,498.25,Guaranteed,25.0,,50.0,The collection details,5000.0,6000.0
Caitlyn Singleton,wyattkyle@example.com,"Phoenix, AZ",Periodontist,Private Practice,DDS,18,Full-time,Medium,Rural,False,Fluent,91454.74,336.23,Draw - Term More than 1 year,,,,,,
Tyler Webb,lbrown@example.com,"Los Angeles, CA",Endodontist,DSO,DMD with Specialization,20,Part-time,Large,Urban,False,Native,124152.99,456.44,Guaranteed,10.0,The production details,25.0,,5000.0,6000.0
Marcia Thomas,allenmary@example.net,"Chicago, IL",Pedodontist,Private Practice,DMD,25,Full-time,Medium,Urban,False,Proficient,106554.01,391.74,Guaranteed,25.0,,50.0,,,6000.0
